Site,Location,Latitude,Longitude
Adams,New Zealand,-50.902700,166.001800
Admiralty,Antarctica,-62.177800,-58.444700
Aiktak,USA,54.188600,-164.840000
Akurey,Iceland,64.16667,-21.95
Alcatraz,USA,37.826670,-122.423330
Amsterdam,France,-37.816667,77.533330
Anacapa,USA,34.003889,-119.394722
Antipodes,New Zealand,-49.669900,178.805200
Bird,South Georgia,-54.005556,-38.050000
Bjornoya,Norway,74.2,19.08
Bonaventure,Canada,48.495805,-64.162241
Buldir,USA,52.358056,175.924722
Cape Lisburne,USA,68.881110,-166.210000
Cape Peirce,USA,58.552780,-161.769000
Cape Shirreff,Antarctica,-62.459000,-60.790200
Chowiet,USA,56.034230,-156.701160
Coats,Canada,62.95,-82.01
Country,Canada,45.101633,-61.543195
Crozet,France,-46.416667,51.833330
Dassen,South Africa,-33.423402,18.087127
East Amatuli,USA,58.917292,-151.986190
Eastern Egg Rock,USA,43.860674,-69.382523
Ebro Delta,Spain,40.560480,0.661919
Fair Isle,United Kingdom,59.530700,-1.625600
Foula,United Kingdom,60.138500,-2.079300
Grimsey,Iceland,66.55,-18
Gull,Canada,47.262235,-52.773441
Hirakimata,New Zealand,-36.186200,175.412600
Hornoya,Norway,70.387700,31.155300
Ihumoana,New Zealand,-36.891415,174.439632
Isle of May,United Kingdom,56.185833,-2.557500
Jenny,USA,43.765036,-69.908587
Kaena,USA,21.574688,-158.279993
Kaikoura,New Zealand,-42.400000,173.680000
Karlso,Sweden,57.283611,17.971944
Kauwahaia,New Zealand,-36.886544,174.437072
Kerguelen,France,-48.400000,68.366670
Kilauea Point,USA,22.229625,-159.398712
Lamberts,South Africa,-32.083333,18.300000
Machias Seal ,USA,44.5,-67.1
Malgas,South Africa,-33.052778,17.925278
Matinicus Rock,USA,43.785579,-68.853620
Middleton,USA,59.438200,-146.326600
Midway,USA,28.208969,-177.378195
Oamaru,New Zealand,-45.110212,170.979431
Outer Green,USA,43.650300,-70.123614
Palmer,Antarctica,-64.766667,-64.050000
Papey,Iceland,64.58333,-14.16667
Pelsaert,Australia,-28.900000,113.900000
Penguin,Australia,-32.305278,115.691111
Phillip,Australia,-38.483333,145.233333
Pointe Geologie,Antarctica,-66.666670,140.016667
Pond,USA,43.733948,-69.971365
Punta Tombo,Argentina,-44.045529,-65.223237
Rangatira,New Zealand,-44.346500,-176.172100
Rasa,Mexico,28.823922,-112.980286
Robben,South Africa,-33.804734,18.366222
Rost,Norway,67.52,12.098889
Santa Barbara,USA,33.476989,-119.037722
SE Farallon,USA,37.724930,-123.030278
Seal,USA,43.887569,-68.740829
Shetland,United Kingdom,60.41,-1.26
Signy,Antarctica,-60.717000,-45.600000
Sklinna,Norway,65.205,11.999
Skomer,UK,51.736899,-5.293144
St. George,USA,56.574290,-169.613000
St. Lazaria,USA,56.987222,-135.704722
St. Paul,USA,57.204360,-170.283000
Stratton,USA,43.505025,-70.312225
Talan,Russia,59.310671,149.082854
Tern,USA,23.870000,-166.284000
Teuri,Japan,44.416667,141.300000
Triangle,Canada,50.864,-129.082
Varanus,Australia,-20.650833,115.574167
Vestmannaeyjar,Iceland,63.4,-20.28333
Wilhelmshaven,Germany,53.511000,8.105200
Yaquina Head,USA,44.67754,-124.080467
,,,
no data:,,,
Reunion,France,-21.331774,55.803331
Galapagos,Ecuador,-0.551343,-90.724111
Laskeek Bay,Canada,52.940525,-131.663917
Cooper,USA,71.237123,-155.678019
